address, amount

0x1e0cc11e4dc7208e74e20ce3060fdffc88680514, 0.300
0x1ed71ee0fe63300e0f966546fc5091ba971a3581, 0.500
0x1ed71ee0fe63300e0f966546fc5091ba971a3581, 0.500, 114
0x1ed71ee0fe63300e0f966546fc5091ba971a3581,
0x1ed71ee0fe63300e0f966546fc5091ba971a3581
0x2ed71ee0fe63300e0f966546fc5091ba971a3581, 0.500


cfx:aaj98r9s6dzrrudd1aenmr8tvah5zn4styyd8c38j2, 2.3
cfx:aaj98r9s6dzrrudd1aenmr8tvah5zn4styyd8c38j2, 0
cfxtest:aanhtnrex2nj56kkbws4yx0jeab34ae16pcap53w13, 2.900
cfxtest:aanhtnrex2nj56kkbws4yx0jeab34ae16pcap53w13, -2.900
cfxtest:aanhtnrex2nj56kkbws4yx0jeab34ae16pcap53w14, 2.900

